acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,simbology
28, -12, -13, 32, -3, 7, 19, 12, 23, 20, 13, 22, 22, 8, 23,D
28, -9, -14, 31, -2, 8, 19, 11, 24, 20, 13, 23, 22, 8, 23,D
27, -11, -16, 31, -3, 10, 18, 12, 25, 19, 13, 23, 21, 9, 23,D
26, -11, -18, 31, -4, 11, 17, 12, 26, 18, 13, 24, 20, 7, 25,D
25, -12, -17, 31, -2, 10, 17, 13, 25, 18, 13, 23, 20, 9, 25,D
25, -11, -19, 31, -4, 10, 17, 12, 25, 17, 12, 24, 20, 8, 25,D
25, -12, -18, 30, -2, 11, 15, 14, 25, 16, 14, 24, 19, 9, 25,D
23, -11, -20, 30, -3, 13, 15, 15, 27, 15, 15, 26, 18, 8, 29,D
24, -15, -19, 31, -2, 14, 14, 15, 26, 15, 16, 25, 18, 10, 27,D
25, -11, -17, 30, -3, 10, 17, 13, 25, 17, 13, 23, 19, 8, 25,D
27, -12, -17, 31, -3, 8, 18, 12, 24, 18, 12, 22, 20, 7, 24,D
25, -12, -17, 30, -4, 11, 16, 13, 25, 17, 13, 24, 19, 8, 25,D
25, -12, -18, 30, -2, 12, 15, 14, 25, 16, 15, 25, 18, 9, 27,D
25, -12, -18, 30, -3, 11, 16, 14, 25, 16, 14, 24, 18, 8, 26,D
25, -12, -18, 30, -3, 11, 16, 13, 25, 16, 14, 24, 18, 8, 26,D
25, -14, -18, 30, -4, 12, 15, 13, 26, 16, 14, 24, 19, 8, 25,D
25, -12, -18, 30, -4, 11, 16, 13, 26, 16, 13, 24, 19, 7, 25,D
25, -13, -19, 30, -5, 12, 15, 13, 26, 16, 13, 25, 18, 7, 26,D
25, -12, -19, 31, -4, 11, 16, 13, 26, 17, 14, 25, 19, 8, 26,D
25, -11, -17, 31, -4, 8, 18, 11, 24, 18, 12, 23, 20, 7, 24,D
25, -13, -19, 30, -6, 12, 16, 14, 25, 16, 14, 24, 19, 9, 26,D
25, -11, -19, 31, -5, 10, 17, 13, 25, 17, 13, 25, 19, 8, 26,D
